iter	Passed	Remaining
0	1	1207
1	2	1113
2	3	1073
3	4	1043
4	5	1038
5	6	1033
6	7	1025
7	8	1010
8	9	1012
9	10	1004
10	11	1004
11	12	1027
12	13	1029
13	14	1017
14	15	1015
15	16	1002
16	17	994
17	18	988
18	18	980
19	20	1021
20	21	1019
21	22	1015
22	23	1007
23	24	998
24	25	992
25	26	994
26	27	1004
27	29	1032
28	31	1040
29	31	1033
30	33	1033
31	33	1026
32	35	1038
33	36	1041
34	37	1036
35	38	1032
36	39	1027
37	40	1021
38	41	1022
39	43	1032
40	44	1043
41	45	1042
42	47	1062
43	49	1065
44	50	1061
45	51	1060
46	52	1055
47	52	1050
48	53	1047
49	54	1041
50	55	1040
51	57	1055
52	58	1054
53	60	1057
54	61	1051
55	62	1046
56	63	1043
57	64	1042
58	65	1037
59	65	1033
60	66	1027
61	67	1022
62	68	1017
63	69	1013
64	70	1011
65	72	1028
66	73	1028
67	74	1025
68	75	1020
69	76	1016
70	77	1013
71	89	1153
72	90	1150
73	91	1145
74	92	1139
75	93	1137
76	94	1132
77	95	1128
78	96	1123
79	97	1118
80	98	1113
81	98	1108
82	99	1098
83	100	1097
84	101	1092
85	102	1093
86	104	1092
87	104	1087
88	105	1083
89	106	1078
90	107	1076
91	108	1074
92	109	1070
93	110	1066
94	111	1062
95	112	1058
96	113	1054
97	114	1050
98	115	1047
99	116	1044
100	117	1041
101	119	1051
102	120	1052
103	121	1048
104	122	1045
105	123	1041
106	124	1038
107	125	1035
108	126	1031
109	127	1027
110	127	1024
111	128	1021
112	129	1018
113	130	1015
114	131	1012
115	132	1012
116	133	1008
117	134	1005
118	135	1003
119	136	1000
120	137	999
121	138	995
122	139	993
123	140	990
124	141	988
125	142	985
126	142	982
127	144	982
128	145	980
129	146	977
130	147	976
131	148	976
132	149	974
133	150	975
134	152	976
135	153	974
136	154	971
137	155	968
138	155	966
139	156	964
140	158	962
141	158	958
142	159	956
143	160	954
144	161	953
145	163	954
146	164	954
147	165	954
148	166	952
149	167	950
150	168	947
151	169	945
152	170	943
153	171	941
154	172	939
155	173	937
156	174	934
157	174	932
158	175	930
159	177	930
160	177	927
161	179	926
162	180	926
163	181	924
164	182	922
165	183	920
166	184	919
167	185	917
168	186	917
169	187	915
170	188	914
171	189	912
172	190	910
173	192	912
174	194	914
175	195	915
176	196	913
177	197	911
178	198	910
179	201	919
180	203	921
181	205	923
182	213	951
183	216	958
184	217	956
185	217	954
186	218	951
187	219	949
188	220	948
189	222	948
190	223	948
191	225	947
192	226	945
193	226	942
194	227	940
195	228	939
196	229	937
197	230	935
198	231	932
199	232	930
200	233	928
201	234	926
202	235	924
203	236	923
204	237	922
205	239	921
206	240	919
207	240	917
208	241	915
209	242	913
210	244	912
211	245	910
212	245	908
213	246	906
214	247	903
215	248	901
216	249	900
217	250	898
218	251	897
219	252	896
220	253	895
221	255	893
222	255	891
223	256	890
224	257	888
225	258	886
226	259	884
227	260	882
228	261	881
229	262	879
230	263	877
231	264	875
232	265	873
233	266	871
234	267	871
235	268	869
236	269	868
237	270	866
238	271	865
239	272	864
240	273	862
241	274	860
242	275	858
243	276	857
244	277	855
245	278	853
246	279	851
247	280	850
248	281	849
249	282	848
250	284	847
251	285	846
252	286	844
253	287	843
254	287	841
255	288	839
256	289	838
257	290	836
258	291	834
259	292	832
260	293	830
261	294	828
